Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	0	1	internal://	InInterests	0	0	0	0
1	0	1	internal://	OutInterests	0	0	0	0
1	0	1	internal://	InData	0	0	0	0
1	0	1	internal://	OutData	0	0	0	0
1	0	1	internal://	InNacks	0	0	0	0
1	0	1	internal://	OutNacks	0	0	0	0
1	0	1	internal://	InSatisfiedInterests	0	0	0	0
1	0	1	internal://	InTimedOutInterests	0	0	0	0
1	0	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	0	1	internal://	OutTimedOutInterests	0	0	0	0
1	0	256	netdev://[00:00:00:00:00:01]	InInterests	8	0.203125	10	0.253906
1	0	256	netdev://[00:00:00:00:00:01]	OutInterests	8	0.203125	10	0.253906
1	0	256	netdev://[00:00:00:00:00:01]	InData	7.2	7.425	9	9.28125
1	0	256	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
1	0	256	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
1	0	256	netdev://[00:00:00:00:00:01]	OutNacks	8	0.203125	10	0.253906
1	0	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
1	0	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
1	0	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	7.2	0	9	0
1	0	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
1	0	257	internal://	InInterests	0	0	0	0
1	0	257	internal://	OutInterests	0	0	0	0
1	0	257	internal://	InData	0	0	0	0
1	0	257	internal://	OutData	0	0	0	0
1	0	257	internal://	InNacks	0	0	0	0
1	0	257	internal://	OutNacks	0	0	0	0
1	0	257	internal://	InSatisfiedInterests	1.6	0	2	0
1	0	257	internal://	InTimedOutInterests	0	0	0	0
1	0	257	internal://	OutSatisfiedInterests	0	0	0	0
1	0	257	internal://	OutTimedOutInterests	0	0	0	0
1	0	258	appFace://	InInterests	8	0.203125	10	0.253906
1	0	258	appFace://	OutInterests	0	0	0	0
1	0	258	appFace://	InData	0	0	0	0
1	0	258	appFace://	OutData	7.2	7.425	9	9.28125
1	0	258	appFace://	InNacks	0	0	0	0
1	0	258	appFace://	OutNacks	0	0	0	0
1	0	258	appFace://	InSatisfiedInterests	7.2	0	9	0
1	0	258	appFace://	InTimedOutInterests	0	0	0	0
1	0	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	0	258	appFace://	OutTimedOutInterests	0	0	0	0
1	0	-1	all	SatisfiedInterests	9.6	0	12	0
1	0	-1	all	TimedOutInterests	0	0	0	0
1	1	1	internal://	InInterests	0	0	0	0
1	1	1	internal://	OutInterests	0	0	0	0
1	1	1	internal://	InData	0	0	0	0
1	1	1	internal://	OutData	0	0	0	0
1	1	1	internal://	InNacks	0	0	0	0
1	1	1	internal://	OutNacks	0	0	0	0
1	1	1	internal://	InSatisfiedInterests	0	0	0	0
1	1	1	internal://	InTimedOutInterests	0	0	0	0
1	1	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	1	1	internal://	OutTimedOutInterests	0	0	0	0
1	1	256	netdev://[00:00:00:00:00:03]	InInterests	8	0.203125	10	0.253906
1	1	256	netdev://[00:00:00:00:00:03]	OutInterests	8	0.203125	10	0.253906
1	1	256	netdev://[00:00:00:00:00:03]	InData	7.2	7.425	9	9.28125
1	1	256	netdev://[00:00:00:00:00:03]	OutData	0	0	0	0
1	1	256	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
1	1	256	netdev://[00:00:00:00:00:03]	OutNacks	8	0.203125	10	0.253906
1	1	256	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	0	0	0	0
1	1	256	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
1	1	256	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	7.2	0	9	0
1	1	256	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
1	1	257	internal://	InInterests	0	0	0	0
1	1	257	internal://	OutInterests	0	0	0	0
1	1	257	internal://	InData	0	0	0	0
1	1	257	internal://	OutData	0	0	0	0
1	1	257	internal://	InNacks	0	0	0	0
1	1	257	internal://	OutNacks	0	0	0	0
1	1	257	internal://	InSatisfiedInterests	1.6	0	2	0
1	1	257	internal://	InTimedOutInterests	0	0	0	0
1	1	257	internal://	OutSatisfiedInterests	0	0	0	0
1	1	257	internal://	OutTimedOutInterests	0	0	0	0
1	1	258	appFace://	InInterests	8	0.203125	10	0.253906
1	1	258	appFace://	OutInterests	0	0	0	0
1	1	258	appFace://	InData	0	0	0	0
1	1	258	appFace://	OutData	7.2	7.425	9	9.28125
1	1	258	appFace://	InNacks	0	0	0	0
1	1	258	appFace://	OutNacks	0	0	0	0
1	1	258	appFace://	InSatisfiedInterests	7.2	0	9	0
1	1	258	appFace://	InTimedOutInterests	0	0	0	0
1	1	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	1	258	appFace://	OutTimedOutInterests	0	0	0	0
1	1	-1	all	SatisfiedInterests	9.6	0	12	0
1	1	-1	all	TimedOutInterests	0	0	0	0
1	2	1	internal://	InInterests	0	0	0	0
1	2	1	internal://	OutInterests	0	0	0	0
1	2	1	internal://	InData	0	0	0	0
1	2	1	internal://	OutData	0	0	0	0
1	2	1	internal://	InNacks	0	0	0	0
1	2	1	internal://	OutNacks	0	0	0	0
1	2	1	internal://	InSatisfiedInterests	0	0	0	0
1	2	1	internal://	InTimedOutInterests	0	0	0	0
1	2	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	2	1	internal://	OutTimedOutInterests	0	0	0	0
